Número,Etiqueta,Nombre Común,Nombre Científico,Categoría,Usos Principales,Ratio Tintura,% Alcohol,Dosis Tintura (gotas o ml),Dosis Otras Formas,Frecuencia Diaria,Contraindicaciones Principales,Legalidad
1,Amanita muscaria,Matamoscas,Amanita muscaria,Hongo psicoactivo,"Ansiolítico, inductor sueño, analgésico",1:5,40%,15-30 gotas × 2/día,0.5-3g seco/día (descarboxilado),1-2 veces/día,"Embarazo, epilepsia, hepatopatías",⚠️ Regulado/Gris
2,Cannabis,Marihuana,Cannabis sativa/indica,Planta psicoactiva,"Dolor crónico, náuseas, epilepsia (CBD), ansiedad, insomnio",1:5 a 1:10,70-95%,CBD: 0.5-2ml × 2/día | THC: 0.25-1ml × 2/día,"Aceite CBD: 10-100mg/día, THC: 2.5-20mg/día",2-3 veces/día,"Embarazo, <25 años, psicosis, cardiopatía",⚠️ Variable por país
3,Cardo mariano,Milk Thistle,Silybum marianum,Planta medicinal,"Hepatoprotector, cirrosis, hígado graso, antioxidante",1:5,70%,30-60 gotas × 3/día,Extracto: 280-600mg silimarina/día,2-3 veces/día,Alergia a Asteraceae,✅ Legal
4,Chaga,Hongo Inmortalidad,Inonotus obliquus,Hongo medicinal,"Inmunomodulador, antioxidante, anticancerígeno, digestivo",1:5 doble,50%,2-3ml × 2-3/día,"Té: 2-4g/taza. Polvo: 500-3,000mg/día",2-3 veces/día,"Anticoagulantes, diabetes (monitorear)",✅ Legal
5,Chilcuague,Oro de Sierra,Heliopsis longipes,Planta medicinal,"Dolor dental, anestésico oral, infecciones bucales",1:5,70%,20-30 gotas diluidas (enjuague),Masticar 1-2cm raíz seca. Té: 5-10g/L,Según necesidad,Hipersalivación patológica,✅ Legal
6,Chuchupate,Osha,Ligusticum porteri,Planta medicinal,"Resfriado, gripe, expectorante, antiviral respiratorio",1:5,60%,Agudo: 60 gotas cada 2-3h | Normal: 30-60 × 3-4/día,"Té: 1-2 cdta/taza. Polvo: 500-1,000mg × 3/día",3-4 veces/día,"Embarazo, úlceras estomacales",✅ Legal
7,Cola de caballo,Horsetail,Equisetum arvense,Planta medicinal,"Salud ósea, cabello/uñas, diurético, remineralización",1:5,25%,2-6ml × 3/día,"Té: 2-3g/taza. Cápsulas: 300-600mg × 3/día",3 veces/día,"Embarazo, alcoholismo, enfermedad renal",✅ Legal
8,Cola de pavo,Turkey Tail,Trametes versicolor,Hongo medicinal,"Cáncer (adyuvante), inmunidad, VPH, infecciones",1:4,50%,3-5ml × 2-3/día,"Extracto: 3,000-9,000mg/día. Té: 5-10g/L × 1-2h",2-3 veces/día,"Autoinmunes (consultar), embarazo",✅ Legal
9,Cordyceps,Hongo Oruga,Cordyceps sinensis/militaris,Hongo medicinal,"Energía, rendimiento atlético, libido, función pulmonar",1:4,50%,2-4ml × 2/día,"Polvo: 3,000-6,000mg/día. Té: 3-5g/500ml",2 veces/día,"Autoinmunes, cirugía próxima",✅ Legal
10,Datura,Estramonio,Datura stramonium,Planta tóxica,⚠️⚠️⚠️ NO USAR - Extremadamente peligroso,NO PREPARAR,N/A,NO USAR,NO CONSUMIR - Riesgo letal,N/A,TODO - Dosis letal ≈ dosis activa,⚠️ Legal planta/Ilegal consumo
11,Jasmine esencia,Jazmín,Jasminum officinale,Aromática,"Ansiolítico, antidepresivo, afrodisíaco, sedante",No aplica,N/A,No aplica (aceite esencial),Difusor: 3-5 gotas. Tópico: 2-3 gotas/10ml portador,Según necesidad,No ingerir aceite esencial puro,✅ Legal
12,Magnolia esencia,Magnolia,Magnolia officinalis,Aromática/Medicinal,"Ansiedad, estrés, depresión, salud bucal",1:5,70%,2-4ml × 2/día,Extracto corteza: 200-400mg × 2/día,2 veces/día,Embarazo (precaución),✅ Legal
13,Granada flor,Pomegranate,Punica granatum,Medicinal/Ornamental,"Antioxidante, digestivo, ornamental",1:5,40%,1-2ml × 2/día,Té flores: 1-2 cdta/taza,1-3 veces/día,Ninguna conocida,✅ Legal
14,Jasmine flor,Jazmín,Jasminum officinale,Medicinal/Aromática,"Té relajante, digestivo, antioxidante",1:5,40%,1-2ml × 2/día,Té flores: 1-2 cdta/taza (infusión 5-10 min),1-3 veces/día,Ninguna conocida,✅ Legal
15,Magnolia flor,Magnolia,Magnolia grandiflora,Medicinal,"Relajante, digestivo, antioxidante",1:5,40%,1-2ml × 2/día,Té flores: 1-2 cdta/taza,1-3 veces/día,Ninguna conocida,✅ Legal
16,Ganoderma,Reishi,Ganoderma lucidum,Hongo medicinal,"Inmunomodulador, adaptógeno, sueño, ansiedad, hígado",1:5 doble,50%,2-4ml × 2-3/día,"Extracto: 1,500-5,000mg/día. Té: 3-5g/L × 1-2h",2-3 veces/día,"Cirugía próxima, anticoagulantes",✅ Legal
17,Gobernadora,Chaparral,Larrea tridentata,Planta medicinal,⚠️ Hepatotóxico - NO uso interno. Tópico: artritis,1:5 SOLO TÓPICO,70%,NO tomar internamente,Ungüento tópico para dolores articulares,N/A,Enfermedad hepática - NO uso interno,⚠️ Legal/No recomendado
18,Hierba del sapo,Frog Herb,Eryngium heterophyllum,Planta medicinal,"Infección urinaria, cálculos renales, diurético",1:5,50%,30-60 gotas × 3/día,Té: 1 cda/taza × 7 días,3 veces/día,"Embarazo, deshidratación",✅ Legal
19,Hikuri,Peyote,Lophophora williamsii,Cactus psicoactivo,🚫 ILEGAL - Ceremonial: visionario/espiritual,NO PREPARAR,N/A,NO USAR,"🚫 Ilegal - Ceremonial: 200-400mg mescalina (4-6 botones)",N/A,"Psicosis, cardiopatía, embarazo - Y ES ILEGAL",🚫 Ilegal (excepto NAC)
20,Jengibre,Ginger,Zingiber officinale,Planta medicinal,"Náuseas, dolor menstrual, artritis, digestivo, migraña",1:5,60%,1-3ml × 3/día,"Fresco: 1-2cm rallado/taza. Polvo: 500-2,000mg/día",2-4 veces/día,"Anticoagulantes, cálculos biliares",✅ Legal
21,LSD,Ácido,N/A (sintético),Psicodélico sintético,🚫 ILEGAL - Investigación: depresión/ansiedad/TEPT,No aplica,N/A,No aplica,🚫 Ilegal - Investigación: 75-150µg. Microdosis: 10µg cada 3 días,N/A,"Psicosis, bipolar, embarazo - Y ES ILEGAL",🚫 Ilegal mundial
